source_record_id,customer_id,first_name,last_name,email,phone,date_of_birth,loyalty_status,marketing_opt_in,created_at,updated_at
SRC_CUSTOMER_B002_000000017,C0013118,Josephine,Owen,josephine.owen.13118@retailverse.example,+44 7995436620,1970-12-05,BRONZE,Y,2024-06-03 05:14:12,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000018,C0003902,Dorothy,Gilbert,dorothy.gilbert.3902@retailverse.example,+44 7721921257,1972-10-20,BRONZE,Y,2025-12-14 23:18:10,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000019,C0019940,Lynne,Vincent,lynne.vincent.19940@retailverse.example,+44 7545170537,1958-09-06,BRONZE,1,2024-07-30 08:47:57,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000020,C0030500,Ashley,Cooper,ashley.cooper.30500@retailverse.example,+44 7820020207,1960-12-27,SILVER,Y,2024-03-21 01:56:44,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000021,C0015270,Deborah,Martin,deborah.martin.15270@retailverse.example,+44 7438632878,1993-10-18,SILVER,Y,2024-02-14 14:59:22,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000022,C0028693,Joanne,Clayton,joanne.clayton.28693@retailverse.example,+44 7490395697,1959-01-08,BRONZE,Y,2023-12-16 09:08:46,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000023,C0020446,Graham,Hill,graham.hill.20446@retailverse.example,+44 7742724687,2003-01-01,GOLD,Y,2023-01-13 07:02:09,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000024,C0019997,Glen,Simpson,glen.simpson.19997@retailverse.example,+44 7962522923,1972-05-12,GOLD,N,2023-01-21 17:23:00,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000025,C0045523,Deborah,Elliott,deborah.elliott.45523@retailverse.example,+44 7900960318,1972-12-19,SILVER,Y,2025-08-21 23:11:40,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000026,C0012874,Alex,Watson,alex.watson.12874@retailverse.example,+44 7770431851,1991-10-24,BRONZE,N,2023-04-06 22:43:06,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000027,C0009846,Antony,Rahman,antony.rahman.9846@retailverse.example,+44 7027733846,1998-12-06,SILVER,Y,2025-12-28 11:00:53,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000028,C0021299,Elizabeth,Thompson,elizabeth.thompson.21299@retailverse.example,+44 7980826497,1993-08-18,GOLD,N,2023-12-24 21:52:58,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000029,C0000692,Sian,Morgan,sian.morgan.692@retailverse.example,+44 7962804794,1954-03-02,SILVER,Y,2026-01-30 17:13:29,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000030,C0022041,Shane,Bell,shane.bell.22041@retailverse.example,+44 7366365269,1995-05-18,BRONZE,N,2025-05-21 22:15:12,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000031,C0038615,Suzanne,Powell,suzanne.powell.38615@retailverse.example,+44 7550530548,1958-12-25,GOLD,N,2023-11-18 21:38:47,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000032,C0023670,Duncan,Briggs,duncan.briggs.23670@retailverse.example,+44 7947514887,1995-03-17,BRONZE,Y,2023-08-04 03:08:31,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000033,C0048998,Tony,Hughes,tony.hughes.48998@retailverse.example,+44 7477641163,1987-10-14,SILVER,Y,2023-10-02 07:10:59,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000034,C0001387,Richard,Hunt,richard.hunt.1387@retailverse.example,+44 7749617983,1984-09-10,BRONZE,Y,2025-03-22 06:04:46,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000035,C0032837,Aimee,Robinson,aimee.robinson.32837@retailverse.example,+44 7642681449,1969-08-31,SILVER,Y,2025-05-10 23:44:05,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000036,C0028705,Eileen,Chadwick,eileen.chadwick.28705@retailverse.example,+44 7241036136,1962-10-04,GOLD,Y,2024-10-21 04:25:41,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000037,C0041511,Pauline,Williams,pauline.williams.41511@retailverse.example,+44 7250122265,1956-10-28,SILVER,Y,2024-03-22 08:30:37,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000038,C0004018,Daniel,Hopkins,daniel.hopkins.4018@retailverse.example,+44 7704395373,1985-08-04,SILVER,Y,2024-02-13 21:41:07,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000039,C0038960,Terry,Bond,terry.bond.38960@retailverse.example,+44 7489918289,1946-12-09,GOLD,N,2026-03-23 11:14:04,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000040,C0000552,Stacey,Carter,stacey.carter.552@retailverse.example,+44 7125095294,1993-11-10,BRONZE,Y,2026-05-20 15:39:50,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000041,C0009141,Hilary,Evans,hilary.evans.9141@retailverse.example,+44 7937811694,1994-07-01,GOLD,N,2025-05-25 03:48:32,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000042,C0036274,Sean,Wood,sean.wood.36274@retailverse.example,+44 7177685495,1960-06-13,BRONZE,Y,2024-07-15 06:05:54,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000043,C0042395,Gareth,Lee,gareth.lee.42395@retailverse.example,+44 7764822834,1985-04-14,SILVER,Y,2025-07-06 09:14:42,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000044,C0039323,Denise,Davies,denise.davies.39323@retailverse.example,+44 7266777875,1947-09-23,SILVER,N,2023-01-08 19:03:24,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000045,C0019328,Matthew,Bull,matthew.bull.19328@retailverse.example,+44 7878297195,1973-08-27,BRONZE,Y,2025-02-18 04:42:39,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000046,C0034838,Julie,Morris,julie.morris.34838@retailverse.example,+44 7766330727,1965-10-21,GOLD,Y,2023-07-18 22:55:32,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000047,C0030395,Ben,Hussain,ben.hussain.30395@retailverse.example,+44 7772542136,1965-01-23,SILVER,N,2023-02-07 07:14:16,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000048,C0035853,Paula,Duffy,paula.duffy.35853@retailverse.example,+44 7875139302,1949-05-12,BRONZE,N,2025-11-08 00:36:00,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000049,C0037326,Hayley,Day,hayley.day.37326@retailverse.example,+44 7575814457,1974-03-27,BRONZE,Y,2024-04-21 01:48:32,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000050,C0031117,Paul,Barrett,paul.barrett.31117@retailverse.example,+44 7387444150,1976-11-18,SILVER,N,2025-08-29 09:08:16,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000051,C0044868,Graham,Rogers,graham.rogers.44868@retailverse.example,+44 7472874094,1960-01-28,BRONZE,Y,2026-04-14 17:52:01,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000052,C0011670,Danny,Akhtar,danny.akhtar.11670@retailverse.example,+44 7142767673,1949-03-10,BRONZE,N,2023-03-01 07:51:58,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000053,C0023390,Glenn,Howell,glenn.howell.23390@retailverse.example,+44 7581587438,2004-03-22,GOLD,Y,2024-08-01 20:44:35,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000054,C0038928,Howard,Martin,howard.martin.38928@retailverse.example,+44 7561417601,1996-05-01,BRONZE,N,2024-10-01 07:04:26,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000055,C0038571,Luke,Robinson,luke.robinson.38571@retailverse.example,+44 7216054675,1973-11-27,SILVER,N,2024-06-21 12:01:42,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000056,C0012734,Richard,Smith,richard.smith.12734@retailverse.example,+44 7238440921,1981-06-15,SILVER,N,2023-02-26 01:20:11,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000057,C0044816,Keith,Gray,keith.gray.44816@retailverse.example,+44 7742771585,1975-05-06,BRONZE,N,2024-12-24 02:18:21,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000058,C0032186,Teresa,Metcalfe,teresa.metcalfe.32186@retailverse.example,+44 7509422607,1996-04-01,SILVER,Y,2023-11-15 15:11:14,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000059,C0043456,Gillian,Watts,gillian.watts.43456@retailverse.example,+44 7007839683,1949-09-07,GOLD,Y,2024-12-19 06:51:34,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000060,C0018009,Steven,Brown,steven.brown.18009@retailverse.example,+44 7553683696,1959-10-16,BRONZE,Y,2023-12-04 05:18:22,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000061,C0048195,Clive,Davies,clive.davies.48195@retailverse.example,+44 7353479454,1991-07-23,BRONZE,N,2024-08-01 22:01:39,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000062,C0042022,Sian,Owen,sian.owen.42022@retailverse.example,+44 7887477918,2003-08-25,SILVER,N,2025-08-04 02:36:09,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000063,C0033052,Harriet,Wheeler,harriet.wheeler.33052@retailverse.example,+44 7111775991,1996-03-04,BRONZE,N,2023-07-10 13:19:19,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000064,C0007045,Nicola,Young,nicola.young.7045@retailverse.example,+44 7153917909,1975-09-04,GOLD,Y,2024-08-25 22:58:57,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000065,C0032667,Carole,Taylor,carole.taylor.32667@retailverse.example,+44 7549651500,1954-05-23,BRONZE,N,2023-07-22 02:38:12,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000066,C0034863,Benjamin,Lloyd,benjamin.lloyd.34863@retailverse.example,+44 7504091782,1990-01-15,GOLD,Y,2024-05-04 14:35:15,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000067,C0034286,Ian,Davis,ian.davis.34286@retailverse.example,+44 7063812032,1967-01-04,GOLD,Y,2023-04-08 01:51:41,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000068,C0001165,Gordon,Holland,gordon.holland.1165@retailverse.example,+44 7872899469,1955-07-01,GOLD,Y,2023-02-19 18:07:55,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000069,C0017591,Joe,Stevens,joe.stevens.17591@retailverse.example,+44 7723851810,2007-04-10,GOLD,Y,2025-05-30 20:53:27,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000070,C0020553,Diana,Shah,diana.shah.20553@retailverse.example,+44 7044125248,1965-06-09,SILVER,N,2024-06-30 11:49:52,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000071,C0042107,Tracy,Young,tracy.young.42107@retailverse.example,+44 7257445323,1980-09-14,BRONZE,Y,2025-12-19 17:59:03,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000072,C0014934,George,Thornton,george.thornton.14934@retailverse.example,+44 7163993826,2001-06-03,SILVER,N,2023-03-09 17:45:02,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000073,C0004707,Graeme,Patel,graeme.patel.4707@retailverse.example,+44 7111793931,1945-05-03,GOLD,Y,2025-09-27 17:59:50,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000074,C0006948,Stanley,Roberts,stanley.roberts.6948@retailverse.example,+44 7177425256,1950-12-04,SILVER,Y,2026-04-15 05:20:55,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000075,C0001071,Jodie,Harvey,jodie.harvey.1071@retailverse.example,+44 7872797759,1976-11-19,SILVER,N,2025-05-02 05:40:01,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000076,C0005016,Sharon,Andrews,sharon.andrews.5016@retailverse.example,+44 7379226825,1949-05-11,BRONZE,Y,2023-08-05 11:58:54,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000077,C0022944,Georgia,Brown,georgia.brown.22944@retailverse.example,+44 7369472202,1983-04-20,GOLD,N,2023-11-10 11:33:54,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000078,C0032620,Hollie,Scott,hollie.scott.32620@retailverse.example,+44 7984116674,1991-05-14,BRONZE,Y,2025-08-13 06:43:11,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000079,C0000281,Christine,Brown,christine.brown.281@retailverse.example,+44 7304054753,1989-08-14,BRONZE,Y,2024-06-12 10:58:36,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000080,C0049761,Jack,Jackson,jack.jackson.49761@retailverse.example,+44 7340069865,1984-05-17,BRONZE,Y,2026-06-09 21:28:18,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000081,C0005252,Sara,Gray,sara.gray.5252@retailverse.example,+44 7847782559,1983-09-13,BRONZE,Y,2025-06-05 23:06:01,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000082,C0022471,Neil,Bryant,neil.bryant.22471@retailverse.example,+44 7203348134,1993-06-03,GOLD,N,2023-03-29 17:57:09,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000083,C0004652,Charlotte,Pritchard,charlotte.pritchard.4652@retailverse.example,+44 7489860414,1968-11-13,GOLD,Y,2024-01-04 13:30:04,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000084,C0001597,Kate,Cooke,kate.cooke.1597@retailverse.example,+44 7240733241,2006-01-04,BRONZE,Y,2024-01-19 22:02:21,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000085,C0030915,Carol,Black,carol.black.30915@retailverse.example,+44 7327441413,1963-04-20,SILVER,Y,2025-07-24 22:46:14,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000086,C0046572,Thomas,Evans,thomas.evans.46572@retailverse.example,+44 7959804133,1957-01-02,SILVER,Y,2023-03-24 19:04:17,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000087,C0009016,Anna,Chadwick,anna.chadwick.9016@retailverse.example,+44 7416051035,2005-04-09,BRONZE,Y,2025-09-25 19:35:49,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000088,C0044546,Jodie,Stone,jodie.stone.44546@retailverse.example,+44 7892149602,1962-02-19,BRONZE,N,2025-01-07 19:02:49,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000089,C0013582,Bradley,Oliver,bradley.oliver.13582@retailverse.example,+44 7604587909,1955-01-13,BRONZE,N,2023-05-25 03:13:28,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000090,C0024215,Georgina,Thomas,georgina.thomas.24215@retailverse.example,+44 7135660200,1955-09-14,BRONZE,N,2024-01-09 01:53:16,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000091,C0030202,Paula,Howe,paula.howe.30202@retailverse.example,+44 7729831238,1969-02-04,BRONZE,Y,2023-06-16 21:33:11,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000092,C0048588,Anne,Evans,anne.evans.48588@retailverse.example,+44 7033500038,1955-10-23,BRONZE,Y,2025-11-02 16:00:09,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000093,C0022821,Billy,Harding,billy.harding.22821@retailverse.example,+44 7735791913,1990-04-13,SILVER,N,2023-07-19 06:16:02,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000094,C0019042,Amelia,Martin,amelia.martin.19042@retailverse.example,+44 7301629561,1961-02-15,GOLD,Y,2026-03-18 11:40:32,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000095,C0035135,Toby,Clarke,toby.clarke.35135@retailverse.example,+44 7317579410,1961-01-15,SILVER,N,2025-06-09 21:49:10,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000096,C0044482,Mandy,Brown,mandy.brown.44482@retailverse.example,+44 7827109403,2007-03-03,GOLD,N,2023-03-17 21:33:26,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000097,C0011843,Ruth,Charlton,ruth.charlton.11843@retailverse.example,+44 7396376613,1978-10-13,BRONZE,N,2026-01-21 17:42:23,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000098,C0029664,Antony,Parkin,antony.parkin.29664@retailverse.example,+44 7768383561,1959-05-28,BRONZE,Y,2024-05-25 10:03:48,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000099,C0006473,Liam,Thomas,liam.thomas.6473@retailverse.example,+44 7358973992,1984-11-05,BRONZE,Y,2024-10-13 12:32:15,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000100,C0014614,Grace,Morris,grace.morris.14614@retailverse.example,+44 7091162168,1949-06-21,BRONZE,N,2026-03-18 18:34:41,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000101,C0010742,Adam,Griffiths,adam.griffiths.10742@retailverse.example,+44 7348451850,1966-06-12,BRONZE,N,2026-07-22 14:24:33,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000102,C0022905,Carl,Taylor,carl.taylor.22905@retailverse.example,+44 7941860548,1970-12-25,GOLD,Y,2025-08-25 21:52:09,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000103,C0039525,Jason,Wilson,jason.wilson.39525@retailverse.example,+44 7288360577,1958-11-13,GOLD,Y,2023-08-14 07:41:47,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000104,C0006899,Christian,Walsh,christian.walsh.6899@retailverse.example,+44 7454700119,1995-08-26,BRONZE,N,2023-01-21 14:37:17,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000105,C0027252,Mandy,Fletcher,mandy.fletcher.27252@retailverse.example,+44 7308511222,1996-04-09,SILVER,Y,2024-07-12 18:18:02,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000106,C0023209,Chloe,Osborne,chloe.osborne.23209@retailverse.example,+44 7756441731,1991-02-02,BRONZE,N,2024-10-22 03:25:20,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000107,C0021177,Brett,Lloyd,brett.lloyd.21177@retailverse.example,+44 7119732626,1997-04-20,GOLD,N,2025-03-04 20:38:51,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000108,C0012741,Jean,Clark,jean.clark.12741@retailverse.example,+44 7104794185,1959-03-09,GOLD,Y,2024-07-08 21:07:09,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000109,C0003249,Sam,Smith,sam.smith.3249@retailverse.example,+44 7532435857,1985-06-28,BRONZE,Y,2023-02-17 21:53:46,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000110,C0005835,Roy,Page,roy.page.5835@retailverse.example,+44 7462115287,1956-11-18,SILVER,Y,2025-09-11 05:21:31,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000111,C0041098,Charlene,Hardy,charlene.hardy.41098@retailverse.example,+44 7030627802,1963-06-23,SILVER,N,2026-03-24 01:32:48,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000112,C0009558,Laura,Smith,laura.smith.9558@retailverse.example,+44 7256164401,1984-09-02,BRONZE,Y,2026-06-21 22:21:08,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000113,C0007258,Christopher,Burton,christopher.burton.7258@retailverse.example,+44 7993608017,1979-04-25,BRONZE,Y,2026-01-14 07:54:35,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000114,C0023008,Jake,Hughes,jake.hughes.23008@retailverse.example,+44 7509743641,1946-01-07,GOLD,Y,2026-03-16 15:50:24,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000115,C0014425,Claire,Morris,claire.morris.14425@retailverse.example,+44 7266172905,1998-06-27,BRONZE,Y,2025-06-27 21:23:45,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000116,C0025816,Alexandra,Thompson,alexandra.thompson.25816@retailverse.example,+44 7263709430,2002-01-24,BRONZE,Y,2026-01-07 14:04:11,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000117,C0033631,Charles,Cox,charles.cox.33631@retailverse.example,+44 7206652099,1988-08-17,GOLD,Y,2026-01-12 19:36:43,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000118,C0011034,Vincent,Sheppard,vincent.sheppard.11034@retailverse.example,+44 7850509822,1987-12-06,SILVER,N,2023-09-12 07:43:30,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000119,C0025719,Marc,Clarke,marc.clarke.25719@retailverse.example,+44 7252403524,1960-01-31,GOLD,Y,2023-02-05 11:40:31,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000120,C0046006,Rachel,Richardson,rachel.richardson.46006@retailverse.example,+44 7254770655,1951-06-08,BRONZE,N,2025-06-03 16:38:37,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000121,C0013375,Francis,Cooper,francis.cooper.13375@retailverse.example,+44 7434056331,2000-11-09,SILVER,N,2026-07-03 13:24:19,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000122,C0046576,Alex,Watts,alex.watts.46576@retailverse.example,+44 7168066767,1962-01-29,GOLD,N,2025-03-22 15:27:37,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000123,C0036666,Natasha,Smith,natasha.smith.36666@retailverse.example,+44 7605133693,1985-05-03,SILVER,Y,2025-10-30 02:39:25,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000124,C0026169,Louise,Vaughan,louise.vaughan.26169@retailverse.example,+44 7316605648,1956-04-29,GOLD,N,2025-09-24 01:59:32,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000125,C0013078,Sheila,Daniels,sheila.daniels.13078@retailverse.example,+44 7108861429,1997-07-07,BRONZE,Y,2023-08-04 21:37:42,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000126,C0003922,Aaron,Burrows,aaron.burrows.3922@retailverse.example,+44 7519876924,1974-02-12,BRONZE,N,2023-12-19 11:09:28,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000127,C0042896,Joyce,Young,joyce.young.42896@retailverse.example,+44 7751182639,1998-04-17,GOLD,Y,2026-03-22 04:57:52,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000128,C0009670,Tracey,Dunn,tracey.dunn.9670@retailverse.example,+44 7297909712,1984-09-04,SILVER,Y,2023-01-02 05:42:23,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000129,C0034530,Hayley,Grant,hayley.grant.34530@retailverse.example,+44 7452997775,1988-09-10,BRONZE,Y,2025-04-29 19:31:53,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000130,C0047236,Joel,Griffiths,joel.griffiths.47236@retailverse.example,+44 7980491006,1961-01-14,BRONZE,Y,2026-04-19 00:43:46,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000131,C0019650,Janet,Atkins,janet.atkins.19650@retailverse.example,+44 7081187760,1998-09-05,SILVER,N,2026-01-31 17:53:45,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000132,C0049049,Louise,Parry,louise.parry.49049@retailverse.example,+44 7705162438,1997-11-12,SILVER,Y,2025-08-27 07:31:15,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000133,C0038070,Leonard,Hudson,leonard.hudson.38070@retailverse.example,+44 7531129487,1961-07-15,BRONZE,Y,2025-06-25 04:45:30,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000134,C0030706,Mark,Wood,mark.wood.30706@retailverse.example,+44 7073682207,1966-06-14,BRONZE,Y,2026-01-11 18:34:31,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000135,C0007683,Dennis,Bates,dennis.bates.7683@retailverse.example,+44 7855307733,1988-11-30,GOLD,Y,2023-12-06 16:19:25,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000136,C0015040,Jemma,Walsh,jemma.walsh.15040@retailverse.example,+44 7901330662,1986-06-02,GOLD,Y,2026-01-01 03:55:53,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000137,C0026478,Graeme,Baxter,graeme.baxter.26478@retailverse.example,+44 7371762500,1972-06-07,BRONZE,Y,2026-02-16 16:06:34,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000138,C0007656,Teresa,Roberts,teresa.roberts.7656@retailverse.example,+44 7307207888,1999-05-13,GOLD,Y,2024-01-15 08:29:36,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000139,C0038399,Gerald,Miller,gerald.miller.38399@retailverse.example,+44 7723051517,1998-02-25,GOLD,Y,2023-08-27 12:29:38,2026-09-01 00:00:00
