customer_id,first_name,last_name,email,phone,city,postcode,signup_date,source_system,loyalty_member,loyalty_id,loyalty_join_date,behaviour_segment
C0000053,Kenneth,Mason,thorntonamelia@example.net,(0115) 4960167,North Kyle,M4 8YU,2024-10-08,POS_LEGACY,True,L0000053,2024-11-11,returning
C0000054,Phillip,Young,franktalbot@example.com,(0151) 4960210,East Lorraine,HS95 6HP,2025-09-10,LOYALTY_CRM,False,,,one_time
C0000055,Frederick,Johnson,baxterteresa@example.org,0191 4960269,Colinbury,S06 0BD,2025-09-25,POS_LEGACY,False,,,one_time
C0000056,Elliott,Khan,gilbertmelissa@example.org,+44909 879 0580,Martinburgh,HA9 7QE,2024-07-04,LOYALTY_CRM,False,,,returning
C0000057,Connor,Chandler,nortonmichelle@example.com,0118 496 0001,Kieranmouth,E45 5UR,2025-12-16,ECOM_V2,False,,,returning
C0000058,Cheryl,Richards,laura32@example.org,+44(0)1164960770,East Traceyview,L1 2FG,2024-01-02,ECOM_V1,False,,,one_time
C0000059,Janet,Joyce,duncan85@example.org,(020) 7496 0828,East Stacey,E8 6RE,2024-05-16,ECOM_V1,True,L0000059,2025-04-07,inactive
C0000060,Molly,Clarke,jonesabbie@example.net,+44161 496 0820,Dawnmouth,RH2A 1NS,2024-04-09,POS_LEGACY,False,,,returning
C0000061,Brian,Cooper,dadams@example.com,0808 1570403,Nicholasmouth,W1 7LE,2025-12-06,MOBILE_APP,False,,,returning
C0000062,Alan,Harvey,sean09@example.org,+44808 157 0353,East Geoffrey,G01 6DW,2024-04-13,LOYALTY_CRM,True,L0000062,2025-04-13,high_value
C0000063,Gail,Shaw,katherinelewis@example.org,0161 4960237,Lanetown,LL3 2XU,2024-05-07,MOBILE_APP,False,,,one_time
C0000064,Mohammed,Foster,astephens@example.com,0808 157 0051,New Beverley,E4J 2PY,2024-06-17,ECOM_V2,False,,,one_time
C0000065,Kenneth,Bailey,leejake@example.org,(0909)8790015,South Barryside,W6 6XH,2025-09-24,MOBILE_APP,True,L0000065,2025-10-10,returning
C0000066,Gregory,Middleton,gwhitehouse@example.net,(0131)4960773,North Suzanne,L87 3LG,2024-09-07,ECOM_V2,False,,,inactive
C0000067,Janice,Walker,maria32@example.com,+44(0)1184960250,Taylorberg,DA0E 6WX,2024-12-12,ECOM_V2,False,,,returning
C0000068,Bradley,Lewis,marionfoster@example.net,+449098790522,Lake Glen,L7T 2UP,2025-03-04,ECOM_V2,False,,,returning
C0000069,Charlie,Lloyd,graybeth@example.net,0117 4960479,New Josephinehaven,S3 1FE,2024-12-03,ECOM_V1,False,,,returning
C0000070,Joshua,Scott,paulmitchell@example.org,01632 960 371,Dylanchester,S87 1QF,2025-08-07,MOBILE_APP,False,,,inactive
C0000071,Gerald,Marsh,stewartvincent@example.org,0141 496 0351,West Graeme,G1B 5HW,2024-01-26,MOBILE_APP,False,,,returning
C0000072,Angela,Harrison,jonathan62@example.com,(0113)4960800,Websterport,M8J 3QT,2025-07-10,ECOM_V2,False,,,inactive
C0000073,Zoe,Quinn,deanbates@example.com,0306 999 0409,Donaldland,G86 2JX,2025-03-12,ECOM_V2,False,,,one_time
C0000074,Geraldine,Holt,woodbrandon@example.net,(0117) 4960359,Elliottfurt,S2 1PE,2025-01-05,ECOM_V2,False,,,returning
C0000075,Clive,Walker,elizabethmiller@example.org,+44(0)20 74960720,Ballton,G95 9YX,2024-05-29,MOBILE_APP,False,,,returning
C0000076,Angela,Parker,qpowell@example.com,+44(0)1514960593,Antonybury,NW1 2DL,2025-04-15,POS_LEGACY,False,,,one_time
C0000077,Charles,Howell,iphillips@example.net,+44(0)20 7496 0488,Cookport,KT5W 1BG,2024-01-10,LOYALTY_CRM,False,,,one_time
C0000078,Mohammed,Todd,hannah99@example.com,+44(0)1164960608,North Liam,IV9 5SA,2024-11-24,ECOM_V1,False,,,returning
C0000079,Alex,Browne,geraldmartin@example.org,+44161 4960569,South Fionatown,CT0 3DF,2025-12-20,ECOM_V2,True,L0000079,2025-12-26,returning
C0000080,Simon,Harris,uthomson@example.net,(0909) 879 0125,Harrisborough,BL73 4EF,2024-04-22,LOYALTY_CRM,True,L0000080,2025-08-15,returning
C0000081,Gordon,Wilson,fharding@example.com,+44(0)8081570136,South Nataliestad,N3 4PH,2024-02-14,MOBILE_APP,True,L0000081,2024-07-06,one_time
C0000082,Charles,Evans,marshben@example.com,(0116) 496 0143,Clarkehaven,W36 3RL,2025-04-16,POS_LEGACY,True,L0000082,2025-07-10,inactive
C0000083,Valerie,Evans,rphillips@example.net,+44(0)161 4960782,Lynnestad,G5 0XS,2024-04-22,ECOM_V1,False,,,reactivated
C0000084,Christine,Martin,chelsea73@example.com,+44(0)1134960175,New Daniel,S91 5BN,2024-05-20,MOBILE_APP,True,L0000084,2024-05-28,returning
C0000085,Harriet,Nicholls,thomsongeorge@example.org,+44116 496 0136,Petermouth,M9 5GX,2024-11-15,MOBILE_APP,False,,,one_time
C0000086,Alexander,Knight,leah83@example.org,(0115)4960963,Port Norman,S6 2BA,2025-05-01,LOYALTY_CRM,False,,,high_value
C0000087,Edward,Griffin,josh06@example.com,+44(0)1632960915,Port Janice,HS5 0RJ,2025-08-25,LOYALTY_CRM,False,,,one_time
C0000088,Antony,Metcalfe,smithrosie@example.net,+441184960382,Elainemouth,CA50 7RR,2025-09-02,POS_LEGACY,True,L0000088,2025-11-28,one_time
C0000089,Julie,Ryan,wheelerellie@example.org,+44(0)115 4960160,South Samanthaton,M7C 6QG,2024-10-24,ECOM_V1,False,,,returning
C0000090,Rosemary,Kelly,tfletcher@example.org,+442074960133,West Geoffreyfurt,BT0 9WD,2025-05-24,ECOM_V2,True,L0000090,2025-10-16,returning
C0000091,Gail,Smith,hodgsonmitchell@example.org,(0306) 999 0330,Geoffreychester,S78 4JF,2025-01-01,MOBILE_APP,False,,,returning
C0000092,Elaine,Pickering,pateljacob@example.net,+44(0)115 4960855,Leechester,B4 2AF,2025-10-21,POS_LEGACY,False,,,returning
C0000093,Georgina,Hardy,patelfrancis@example.com,+44(0)3069990909,East Janeshire,M70 1QR,2024-10-14,ECOM_V1,True,L0000093,2024-11-19,returning
C0000094,Nicholas,Murray,sharrison@example.com,(0191)4960787,Saraview,SP2E 3YL,2024-12-02,LOYALTY_CRM,False,,,returning
C0000095,Valerie,Thomas,qdavey@example.org,+44(0)20 74960293,East Ruthland,N1W 0YY,2025-02-01,ECOM_V1,False,,,returning
C0000096,Marilyn,Baker,kieranwilson@example.org,(0808) 1570305,Lake Joannaville,L0T 3GU,2025-04-16,ECOM_V2,False,,,returning
C0000097,Gail,Lane,dkelly@example.net,+441134960161,New Andrea,W4 4JA,2025-02-17,LOYALTY_CRM,False,,,returning
C0000098,Joanna,Marshall,kellyvanessa@example.net,+44(0)28 9018 0116,Sandersonland,CA4 5UW,2025-11-24,ECOM_V2,True,L0000098,2025-12-30,returning
C0000099,Terry,Patel,mbrady@example.net,(0131) 496 0584,Port Damien,HD9Y 6SS,2025-10-26,ECOM_V2,True,L0000099,2025-12-13,returning
C0000100,Beth,Webster,towens@example.net,(0115) 4960790,Gerardville,N8 4PX,2024-05-18,POS_LEGACY,False,,,inactive
C0000101,Kimberley,Frost,umiller@example.net,01514960928,Bennettfurt,B6 4SY,2024-02-02,LOYALTY_CRM,False,,,returning
C0000102,Adam,Lewis,qprice@example.com,0292018099,Port Carly,S3 1JG,2025-11-12,POS_LEGACY,False,,,one_time
C0000103,Linda,Wood,iwilliams@example.net,+44(0)306 999 0535,West Meganberg,E42 8HG,2024-09-08,POS_LEGACY,True,L0000103,2025-05-07,returning
C0000104,Callum,Lewis,ryan04@example.net,+44289018388,Claytonside,L64 2PD,2025-07-01,LOYALTY_CRM,False,,,returning
C0000105,Vincent,Roberts,jordangibbs@example.org,(0116) 4960764,Nicolechester,CV7P 3NZ,2025-09-13,MOBILE_APP,False,,,high_value
C0000106,Nicole,O'Sullivan,danielhall@example.com,0151 496 0337,Whiteheadberg,S5S 2QP,2025-11-05,ECOM_V1,True,L0000106,2025-11-08,returning
C0000107,Callum,Cameron,gavin60@example.org,(0121) 496 0111,Lake Stanleyside,W55 8EW,2025-10-10,POS_LEGACY,True,L0000107,2025-11-16,high_value
C0000108,Glen,Marshall,ellie30@example.net,0191 4960081,Clarkchester,S11 3RN,2025-06-23,LOYALTY_CRM,False,,,one_time
C0000109,Michelle,Hughes,pageangela@example.com,+441174960250,Sandrahaven,M5 0UH,2024-07-21,MOBILE_APP,True,L0000109,2024-09-27,reactivated
C0000110,Declan,Kelly,vanessacarpenter@example.net,(020) 7496 0807,Lake Alexander,WV2 7XS,2024-04-09,ECOM_V2,False,,,one_time
C0000111,Kirsty,Marshall,kennedyjamie@example.org,0131 4960910,Mohammedchester,S3 7HU,2024-12-17,ECOM_V2,False,,,returning
C0000112,Kyle,Sheppard,pgibbs@example.com,+44(0)114 4960737,West Cheryl,B6T 2GU,2024-03-18,ECOM_V2,False,,,returning
C0000113,Harriet,Spencer,smacdonald@example.net,(0113) 496 0696,West Mandymouth,TW86 4XX,2024-09-29,MOBILE_APP,False,,,returning
C0000114,Cheryl,Mason,morganroy@example.com,(0191) 4960933,Port Katy,IP3E 1US,2025-01-08,ECOM_V2,False,,,returning
C0000115,Simon,Davies,danielle28@example.org,+44(0)141 4960731,East Marc,N7 2NE,2025-02-19,POS_LEGACY,True,L0000115,2025-09-24,inactive
C0000116,Holly,Harvey,heathdanielle@example.net,(028)9018586,Adamstown,RH2 1UX,2025-10-22,LOYALTY_CRM,True,L0000116,2025-11-20,returning
C0000117,Kerry,Mason,xferguson@example.org,+441414960235,Port Julianmouth,GY8 4SQ,2025-12-06,POS_LEGACY,True,L0000117,2025-12-07,one_time
C0000118,Trevor,Evans,wilsonelaine@example.net,(0909) 879 0725,North Paulinemouth,M9S 5RX,2025-11-02,POS_LEGACY,False,,,returning
C0000119,Iain,Evans,jonessean@example.org,01914960301,East Vanessaberg,CV5X 0AP,2025-04-22,ECOM_V2,False,,,reactivated
C0000120,Tony,Summers,valerieharrison@example.org,+44(0)1214960961,Lake Francescachester,M7S 4RT,2025-11-01,ECOM_V2,False,,,one_time
C0000121,Dominic,Jackson,thomasjoseph@example.org,+44(0)121 4960540,South Kennethport,G5 0PQ,2025-04-05,ECOM_V1,True,L0000121,2025-09-01,returning
C0000122,Josh,King,heathjamie@example.com,0115 4960344,New Zoe,TR54 3YE,2025-09-03,MOBILE_APP,False,,,one_time
C0000123,Angela,Reid,graham87@example.org,+44(0)114 496 0284,Lake Derek,WR8A 3PF,2024-04-04,LOYALTY_CRM,False,,,one_time
C0000124,Jennifer,Green,aimee37@example.org,+44(0)29 2018 0641,Leslieview,HA08 5AB,2024-08-03,MOBILE_APP,False,,,returning
C0000125,Owen,Gibson,robertssam@example.com,+44(0)1632 960 578,North Mandyland,S24 8RH,2024-12-21,ECOM_V2,False,,,one_time
C0000126,Kirsty,Norris,conorabbott@example.org,(0116)4960273,Abigailshire,B47 2DZ,2024-06-07,POS_LEGACY,True,L0000126,2025-08-22,one_time
C0000127,Colin,Burns,ugriffiths@example.com,+441214960391,South Charlesport,HX4 1TX,2025-09-28,POS_LEGACY,True,L0000127,2025-11-17,returning
C0000128,Shannon,Jones,howarddouglas@example.org,(0191) 496 0130,West Jack,E9A 9TF,2024-10-01,ECOM_V1,False,,,high_value
C0000129,Liam,Patterson,jason13@example.net,(0131) 496 0909,East Jonathanfort,NE9 9UJ,2024-09-16,LOYALTY_CRM,True,L0000129,2025-07-17,one_time
C0000130,Marion,Baker,angelakelly@example.com,+44(0)117 496 0800,West Ian,E8 6HA,2025-10-30,POS_LEGACY,False,,,returning
C0000131,Gordon,Collins,beverleybrown@example.com,(0191)4960912,North Benjamintown,L73 5TU,2024-01-06,MOBILE_APP,True,L0000131,2025-10-23,one_time
C0000132,Elaine,Marsh,howepatrick@example.net,+44(0)131 496 0271,Port Ben,G8 4GZ,2025-08-31,POS_LEGACY,False,,,returning
C0000133,Gerard,Simpson,irobinson@example.com,+441632 960 063,South Abigailberg,BD9A 1TH,2024-07-10,POS_LEGACY,True,L0000133,2025-01-16,reactivated
C0000134,Charles,Baxter,dianecollins@example.com,029 2018 0988,Teresashire,N4 1BS,2024-08-04,ECOM_V2,False,,,inactive
C0000135,Terence,Spencer,judithnorman@example.com,(0191) 4960859,Davidshire,CB6 7UJ,2025-07-04,MOBILE_APP,True,L0000135,2025-08-26,inactive
C0000136,Michelle,Sullivan,jcoleman@example.org,(0161) 4960003,Grahamtown,SL9M 2BR,2025-11-01,LOYALTY_CRM,False,,,returning
C0000137,Dean,Smith,kmacdonald@example.com,+44113 496 0800,O'Brienview,LS70 8YF,2025-02-23,ECOM_V2,True,L0000137,2025-06-19,one_time
C0000138,Holly,Dawson,joneslydia@example.com,+44292018903,Lake Judith,WR6 0EA,2024-12-11,POS_LEGACY,False,,,one_time
C0000139,Sara,Turner,dixonbernard@example.com,+44118 4960509,North Glen,LL8 8FD,2024-03-07,ECOM_V2,True,L0000139,2025-02-01,inactive
C0000140,Rachel,Singh,etaylor@example.com,+44(0)113 4960927,East Michelle,M2A 3YB,2024-10-01,LOYALTY_CRM,True,L0000140,2025-01-27,returning
C0000141,Dawn,Reynolds,stephanie36@example.net,+44289018299,Hallhaven,G2J 9NQ,2025-07-08,ECOM_V2,True,L0000141,2025-12-09,one_time
C0000142,Simon,Jenkins,davidallen@example.com,0121 496 0303,South Francis,BT8X 5HB,2025-09-30,ECOM_V1,False,,,returning
C0000143,Owen,Cook,vincentgriffin@example.org,+441184960171,Lake Adrianburgh,TD1 6PW,2025-05-07,ECOM_V1,True,L0000143,2025-09-17,one_time
C0000144,Marian,Hurst,hussainbrian@example.org,(0141) 496 0254,West Michellebury,PE2A 3HY,2024-11-22,LOYALTY_CRM,False,,,one_time
C0000145,Abdul,Stevenson,haynesemily@example.com,+44191 496 0774,West Ruthstad,B0 1AL,2024-10-24,LOYALTY_CRM,True,L0000145,2025-05-27,high_value
C0000146,Malcolm,Thorpe,kentsteven@example.org,0808 1570871,Antonyland,B51 7NB,2024-09-04,LOYALTY_CRM,False,,,inactive
C0000147,Kathryn,Moss,jakebond@example.net,(0121)4960107,New Michael,HU9 8UG,2025-02-14,ECOM_V1,False,,,returning
C0000148,Joel,Scott,greenkate@example.com,+44(0)1632960558,Clairebury,DT7M 8NN,2025-02-05,LOYALTY_CRM,False,,,one_time
C0000149,Gareth,Brown,jack04@example.org,(0115)4960178,Hussainmouth,B3 8XJ,2024-03-19,ECOM_V2,False,,,one_time
C0000150,Fiona,Robinson,robinsonruth@example.org,(0114)4960490,Port Megan,HD46 9HW,2025-02-27,MOBILE_APP,False,,,returning
C0000151,Shaun,Hammond,brooksaimee@example.net,0151 496 0118,Mollyview,KA4 3ZY,2025-04-03,ECOM_V1,False,,,one_time
C0000152,Naomi,Reeves,amanda45@example.com,03069990925,Ashleymouth,N57 1XP,2024-03-01,LOYALTY_CRM,False,,,returning
C0000153,Olivia,Anderson,bsmith@example.org,0191 4960110,West Vincent,SK0X 1GF,2025-11-12,ECOM_V2,False,,,returning
C0000154,Margaret,Clarke,omorgan@example.net,(01632) 960 810,Jacobtown,B85 1ZD,2025-12-21,LOYALTY_CRM,False,,,returning
C0000155,Nathan,Morgan,joannekirby@example.org,+44(0)1214960802,South Nicola,KW8 7JQ,2024-09-10,ECOM_V2,True,L0000155,2025-12-30,inactive
C0000156,Melanie,Jones,naomiallen@example.com,+441614960753,Sallyberg,DT7 2HR,2025-09-23,ECOM_V1,True,L0000156,2025-11-06,returning
C0000157,Maria,Crawford,mlane@example.com,029 2018249,Spencerchester,G9 6EP,2025-04-25,ECOM_V1,True,L0000157,2025-11-21,returning
C0000158,Roy,Shaw,vharrison@example.net,0131 496 0620,West Clareside,L7 4NJ,2025-07-02,POS_LEGACY,True,L0000158,2025-12-13,returning
C0000159,Jenna,Davey,mlamb@example.org,02074960838,Bradleyland,G85 0HU,2025-12-12,ECOM_V1,False,,,returning
C0000160,Dylan,Smith,utaylor@example.net,(01632) 960 134,Palmerchester,ML9B 5SD,2025-03-08,ECOM_V2,False,,,returning
C0000161,Timothy,Wright,powellmathew@example.org,+44161 4960155,Simontown,PO5 0FE,2024-12-15,POS_LEGACY,False,,,reactivated
C0000162,Tracey,Gibbons,mark23@example.com,(0114) 496 0319,South Alan,B0 7WS,2025-07-23,ECOM_V2,False,,,returning
C0000163,Susan,Phillips,tcunningham@example.com,+44151 496 0982,New Lindafurt,M06 3JZ,2024-11-05,ECOM_V2,False,,,inactive
C0000164,Stanley,Lee,lford@example.net,+441632 960 666,West Louiston,M8 7TY,2024-07-07,ECOM_V2,True,L0000164,2025-05-29,one_time
C0000165,Diana,Hobbs,leejones@example.org,0115 496 0590,North Leahside,LU62 8UU,2025-09-24,ECOM_V2,True,L0000165,2025-11-24,returning
C0000166,Damian,Skinner,knightgordon@example.com,0808 1570178,Harrisbury,UB3 9PX,2025-03-01,MOBILE_APP,False,,,returning
C0000167,Jacqueline,Jones,annette38@example.com,0161 4960174,New Philip,NG9H 0HZ,2025-05-01,ECOM_V1,False,,,one_time
C0000168,Deborah,Gregory,samantha11@example.net,+44(0)909 8790964,South Jeffrey,PA6 3GY,2024-11-27,ECOM_V2,False,,,returning
C0000169,Shirley,Roberts,anthony47@example.org,0151 4960997,Lake Clivemouth,M6C 9AP,2024-06-01,LOYALTY_CRM,False,,,returning
C0000170,Scott,Roberts,coxfrank@example.net,(0121) 4960640,Bernardview,AL4P 3YF,2024-09-07,MOBILE_APP,True,L0000170,2024-09-08,one_time
C0000171,Susan,Green,kerrythomas@example.org,+4420 7496 0126,Lake Leigh,W1A 6NP,2025-07-06,MOBILE_APP,False,,,returning
C0000172,Lynn,Fletcher,jasmine29@example.com,+441154960675,Lake Marie,B69 8PB,2025-09-11,ECOM_V2,False,,,returning
C0000173,Owen,Singh,pauline59@example.net,+44118 4960295,Nicholsontown,M49 8QP,2024-09-09,POS_LEGACY,False,,,returning
C0000174,Bryan,Vincent,caroline35@example.com,(0114) 4960969,Toddside,LA1E 2LA,2025-07-08,MOBILE_APP,False,,,returning
C0000175,Irene,Newton,valerie40@example.com,+44(0)117 4960028,South Jennaside,W8B 0NA,2025-07-20,MOBILE_APP,False,,,returning
C0000176,Louis,Palmer,alex12@example.com,+441174960596,North Dennis,CW25 9RG,2024-03-24,ECOM_V1,True,L0000176,2024-07-08,high_value
C0000177,Joanne,Phillips,charlene45@example.com,0113 4960987,New Julie,L9 3JJ,2024-08-02,MOBILE_APP,False,,,one_time
C0000178,Tracy,Sanders,pollardleslie@example.org,(0115) 496 0931,South Christianchester,M5U 6SP,2024-11-16,LOYALTY_CRM,False,,,one_time
C0000179,Ashley,Barber,mannpeter@example.net,+44115 4960072,Forsterfort,B5 8YH,2024-05-18,ECOM_V1,False,,,reactivated
C0000180,Bradley,Davies,banksadam@example.com,+44(0)306 999 0402,North Henry,BH42 3SS,2024-09-05,MOBILE_APP,True,L0000180,2024-11-24,one_time
C0000181,Bryan,Lloyd,claytonjames@example.org,(020) 7496 0300,West Samtown,ME7 6DW,2025-04-03,ECOM_V1,True,L0000181,2025-10-31,one_time
C0000182,Pauline,Berry,justin82@example.org,(0191) 496 0595,North Peter,SW70 6QW,2025-01-28,POS_LEGACY,False,,,returning
C0000183,Kenneth,Fitzgerald,yharrison@example.net,09098790952,Kellyview,BD4E 2YB,2025-09-25,POS_LEGACY,True,L0000183,2025-10-30,one_time
C0000184,Laura,Oliver,david03@example.com,+44(0)292018944,Williamport,B0A 4BT,2025-07-28,ECOM_V1,False,,,inactive
C0000185,Jeffrey,Bailey,hollieevans@example.com,(0117)4960789,Lake Reece,NW3B 7ZW,2024-07-22,LOYALTY_CRM,False,,,returning
C0000186,Chloe,Martin,pcrawford@example.org,+44(0)151 496 0070,Stevenview,DG8 9HA,2025-02-23,ECOM_V2,False,,,reactivated
C0000187,Natasha,Patel,mpope@example.org,0115 4960138,New Allan,BH50 7AR,2025-05-29,POS_LEGACY,False,,,inactive
